1105688150859485184,Fernand67698010,@aguschmer @CynthiaViteri6 Definitivamente mi voto ya lo tiene!,Wed Mar 13 04:32:52 +0000 2019
1105688191678468096,brisipin,RT @JuanIgn88061066: @BoscoFebro @PATRIOTA_EQ @MelCat67 @SusanaElba @jackemursy @alebetamax @MAURI4117 @Educacion_Ec @AgustinLindaoa @Chico…,Wed Mar 13 04:33:02 +0000 2019
1105688243348168704,CarlosAnt22,RT @cendemocratico: [#BOLETÍN] @jimmyjairala considera que las escuelas impulsarán las habilidades de los jóvenes. Además firmará convenios…,Wed Mar 13 04:33:14 +0000 2019
1105688254706315264,diegoolivares55,"RT @EcuadorTV: HOY | 22H00
En #DecisiónEnDemocracia conoceremos a los candidatos a la Alcaldía de #Guayaquil: @EduardoArgudoG, @BermudezBro…",Wed Mar 13 04:33:17 +0000 2019
1105688696601395201,Daniela24122017,RT @CarlosVerareal: Un nuevo baluarte en el equipo de @CynthiaViteri6 para concejal... https://t.co/GfBtdoRoMP,Wed Mar 13 04:35:02 +0000 2019
1105688737428713473,Alibertaria_,Si vas a sacar otra publicidad electoral bajate un poco más de pueblo. De allí si creo que sacas lo votos para lleg… https://t.co/UFdtig4abO,Wed Mar 13 04:35:12 +0000 2019
1105688750905065473,brisipin,RT @marthi100: @SusanaElba @BoscoFebro @jackemursy @JuanIgn88061066 @alebetamax @MAURI4117 @Educacion_Ec @AgustinLindaoa @ChicoBuarke @tore…,Wed Mar 13 04:35:15 +0000 2019
1105688790146912256,brisipin,RT @SusanaElba: @BoscoFebro @jackemursy @JuanIgn88061066 @alebetamax @MAURI4117 @Educacion_Ec @AgustinLindaoa @ChicoBuarke @marthi100 @tore…,Wed Mar 13 04:35:24 +0000 2019
1105688817162506241,Daniela_Rom23,"RT @EcuadorTV: HOY | 22H00
En #DecisiónEnDemocracia conoceremos a los candidatos a la Alcaldía de #Guayaquil: @EduardoArgudoG, @BermudezBro…",Wed Mar 13 04:35:31 +0000 2019
1105689149124890625,DavidPalaciosR6,RT @cendemocratico: [#BOLETÍN] @jimmyjairala recorrió las parroquias García Moreno y Sucre. Los dueños de locales denuncian que decisiones…,Wed Mar 13 04:36:50 +0000 2019
1105689200031084544,rickampuero,RT @RonPeper: @Aqua2650 @elconsiglieri1 @manaranjodiaz @JorgeVelezVelez @Patrici02306665 @AtrixIII @AvonbuchwaldS @TaniaGuaranda @JusticeVe…,Wed Mar 13 04:37:02 +0000 2019
1105689500511072256,DulceFusion3,@jimmyjairala No se ataquen lo importante es proyectos y a cumplir desde el mismo día en adelante no se ve bien dec… https://t.co/ygahCi3uIX,Wed Mar 13 04:38:14 +0000 2019
1105689783312007168,Arimandini,RT @SusanaElba: @BoscoFebro @jackemursy @JuanIgn88061066 @alebetamax @MAURI4117 @Educacion_Ec @AgustinLindaoa @ChicoBuarke @marthi100 @tore…,Wed Mar 13 04:39:21 +0000 2019
1105689821245329409,Arimandini,RT @marthi100: @SusanaElba @BoscoFebro @jackemursy @JuanIgn88061066 @alebetamax @MAURI4117 @Educacion_Ec @AgustinLindaoa @ChicoBuarke @tore…,Wed Mar 13 04:39:30 +0000 2019
1105689922780971008,wealthpermawat,RT @EcuaPoll: Cree usted que la jornada Carnavalera de @jimmyjairala en Twitter le hizo ganar o perder votos?,Wed Mar 13 04:39:54 +0000 2019
1105690041274298368,Juanpi_2704,@interagua @jaimenebotsaadi @ilfn_florsheim @CynthiaViteri6 @LosConfiables @ayudamehenry @RTS_LaNoticia… https://t.co/fFfbv1QACK,Wed Mar 13 04:40:23 +0000 2019
1105690391070892032,Juanpi_2704,@interagua @jaimenebotsaadi @ilfn_florsheim @CynthiaViteri6 @LosConfiables @ayudamehenry @RTS_LaNoticia… https://t.co/VLqE3PkHIZ,Wed Mar 13 04:41:46 +0000 2019
1105690599070535680,aaannashi,@jaimenebotsaadi @CynthiaViteri6,Wed Mar 13 04:42:36 +0000 2019
1105690634671869952,Lacoloradaloca,"YA ENTIENDO EL PERIODISMO ""IMPARCIAL"" ""OBJETIVO"" CUANDO ERES YUNTA DE LOS PANAS DE @La6Ecuador PILAS @jimmyjairala… https://t.co/7txJP4o8qa",Wed Mar 13 04:42:44 +0000 2019
1105690906991185920,lic_cmartin,@ElReversoEc @jimmyjairala @DemocratMi @PrensaBananera @SomosMasEc @TCtelevisionHD A través ¡carajo! a través,Wed Mar 13 04:43:49 +0000 2019
1105690959625502720,Saulmenas,"RT @EcuadorTV: HOY | 22H00
En #DecisiónEnDemocracia conoceremos a los candidatos a la Alcaldía de #Guayaquil: @EduardoArgudoG, @BermudezBro…",Wed Mar 13 04:44:02 +0000 2019
1105690972921442305,JoseAvilaStagg,@avalleguayas @jimmyjairala 🤦🏻‍♂️Esta señora le gana a Cantinflas y a Pepe Biondi ...GUAYAQUIL no está para estas p… https://t.co/DKlfSbz2p9,Wed Mar 13 04:44:05 +0000 2019
1105691351721668608,wgcv,@jimmyjairala 🐀,Wed Mar 13 04:45:35 +0000 2019
1105692011036856320,JuanitaBeltrnRu,"RT @cendemocratico: Vía @teleramaec: @jimmyjairala visitó Sauces, Guayacanes y Alborada, al norte de Guayaquil. El candidato conversó con d…",Wed Mar 13 04:48:12 +0000 2019
1105692018267824128,brisipin,#NiUnVotoParaJairala 🇪🇨❤️,Wed Mar 13 04:48:14 +0000 2019
1105692289777745920,cristianlabrin5,RT @brisipin: #NiUnVotoParaJairala 🇪🇨❤️ https://t.co/YWUabepy2K,Wed Mar 13 04:49:19 +0000 2019
1105692330655395841,CarlosAnt22,@jimmyjairala con tu gestión como alcalde y el apoyo de los vecinos del sector lograran resolver esta problemática.… https://t.co/Qiu4MPs9Hz,Wed Mar 13 04:49:29 +0000 2019
1105693509657526272,CALDERONCHAVEZ,@dani_solorzano @jaimenebotsaadi @andresroche @ATMGuayaquil @BYDECUADOR @Cupsfire_gye @carlosferrin @pedritoortizjr… https://t.co/hnHwch6Jce,Wed Mar 13 04:54:10 +0000 2019
1105693511834353664,malulyvaldivies,@mforever_ec @jimmyjairala @ClasificadosGYE @ClasificadosEc_ Cynthia ya fue presidenta (en twitter) dos veces  ...… https://t.co/DLB75l7A2H,Wed Mar 13 04:54:10 +0000 2019
1105856527028666368,CaicedoFranc,"RT @CMGuayas: IMÁGENES| Diálogo con los Candidatos; @jaimelomas74 por la Alcaldía de Guayaquil , @ceciliacalderec por la Prefectura del Gua…",Wed Mar 13 15:41:56 +0000 2019
1105857700129325056,SantiagoYagualQ,"RT @cendemocratico: .@jimmyjairala, junto a @cocaespueblo y @LadyMina15, recorren La Atarazana conversando con sus vecinos y con los propie…",Wed Mar 13 15:46:36 +0000 2019
1105858182012960768,PolyUgarteG,¡Recorrimos Pascuales junto a @fcojimenez21! Con el gran equipo de @CREOEcuador estamos trabajando por el CAMBIO qu… https://t.co/DnSJAmQl4n,Wed Mar 13 15:48:31 +0000 2019
1105858217509294080,SantiagoYagualQ,"RT @cendemocratico: .@jimmyjairala lamenta que el CNE se encuentre ""ciego, sordo y mudo"" ante las constantes irregularidades y abusos por p…",Wed Mar 13 15:48:39 +0000 2019
1105858530161106944,BolivarRosero1,@jimmyjairala Transparencia y los examanes especiales que te hizo la contraloria,Wed Mar 13 15:49:54 +0000 2019
1105858648029491203,LauritaArteaga6,"Seguimos recorriendo el #Distrito1, compartiendo y conociendo las nuevas aspiraciones de sus habitantes. Ya falta p… https://t.co/d241jL2vK6",Wed Mar 13 15:50:22 +0000 2019
1105858893924761603,EricChambersMer,@aguschmer @CynthiaViteri6 Yo creo que vendiste el alma al diablo @aguschmer,Wed Mar 13 15:51:20 +0000 2019
1105859395387310080,SantiagoYagualQ,"RT @cendemocratico: .@jimmyjairala propone una ciudad que se ocupe de todos: una ciudad amiga, amable, feliz, que procure el bien común, y…",Wed Mar 13 15:53:20 +0000 2019
1105859536538296320,Alejita21,"Entiendo q estén en campaña pero ya pues anoche 23:30 podían a todo volumen, hoy pura música, ya pues… https://t.co/aLi1Ky2WJ6",Wed Mar 13 15:53:54 +0000 2019
1105859996233973761,DeConcejal,EL MOMENTO DEL CAMBIO SOCIAL LLEGÓ JUNTO A @cgcassanello @DeConcejal POR UNA NUEVA ADMINISTRACIÓN PÚBLICA EFICAZ.… https://t.co/Snk6YHhJba,Wed Mar 13 15:55:43 +0000 2019
1105860934474653702,er_villamars,"RT @cnegobec: #DecisiónEnDemocracia | Hoy a las 22h00, conoceremos a los candidatos a la alcaldía de #Guayaquil: @EduardoArgudoG, @Bermudez…",Wed Mar 13 15:59:27 +0000 2019
1105862137400954883,LauritaArteaga6,"¡#FelizMiércoles guayaquileños! Los invito a ver hoy mi entrevista en @vitotvo, dónde hablaré de las propuestas par… https://t.co/7gbJ4P6GOY",Wed Mar 13 16:04:14 +0000 2019
1105862408965419008,nicolerueda17,"RT @luisevivanco: He concluido con mis entrevistas electorales, espero les sean útiles para informarse y divertirse. La última con @Cynthia…",Wed Mar 13 16:05:18 +0000 2019
1105862685382590467,darkvader2015,"RT @Lacoloradaloca: YA ENTIENDO EL PERIODISMO ""IMPARCIAL"" ""OBJETIVO"" CUANDO ERES YUNTA DE LOS PANAS DE @La6Ecuador PILAS @jimmyjairala POR…",Wed Mar 13 16:06:24 +0000 2019
